id;country_name;iso_2;code_area;language
1;Account;mindshare extend;99350;system
2;GB Tailândia Business-focused;hack dourado prata;6884;Peixe 
3;Mesa Bebê Checking;Engineer Jibuti Gâmbia;3605;Cambri
4;Sapatos Ilhas;Gostoso Chief Fresco;12263;transm
5;Facilitator;caramelo target;36621;Direct
6;Corporate Strategist portals;Avenida laranja Hungria;15397;pixel 
7;Forward e-services;1080p Consultant;43409;Bedfor
8;recontextualize Casa Montserrat;hack generate;94859;seamle
9;Ferramentas Trinidad Bebê;Mato;31765;Berksh
10;streamline;Pedro payment Automotivo;26666;Usabil
