id;attach_image;attach_image_content_type;attach_url;attach_description;attached_date;customers_id;status_attachments_id
1;../fake-data/blob/hipster.png;image/png;1080p virtual;Supervisor cutting-edge;2021-09-02T15:59:02;1;1
2;../fake-data/blob/hipster.png;image/png;cenoura;Product;2021-09-02T14:53:20;2;2
3;../fake-data/blob/hipster.png;image/png;GB Sapatos;Guarani pixel withdrawal;2021-09-02T18:29:24;3;3
4;../fake-data/blob/hipster.png;image/png;virtual metrics enable;XSS generate Central;2021-09-02T09:28:38;4;4
5;../fake-data/blob/hipster.png;image/png;cinza;up;2021-09-02T13:08:56;5;5
6;../fake-data/blob/hipster.png;image/png;Directives;User-centric synthesizing;2021-09-02T15:37:40;6;6
7;../fake-data/blob/hipster.png;image/png;bronze Orchestrator Algodão;Prático incremental Pequeno;2021-09-03T00:55:46;7;7
8;../fake-data/blob/hipster.png;image/png;protocol Alameda HTTP;global;2021-09-02T10:11:32;8;8
9;../fake-data/blob/hipster.png;image/png;Macio programming;Lesotho;2021-09-03T02:25:35;9;9
10;../fake-data/blob/hipster.png;image/png;Corporate;Algodão hard;2021-09-02T09:08:06;10;10
