id;fee_date;fee_driver_commission;fee_financial_cost;fee_taxes;fee_descriptions;affiliates_id
1;2021-09-02;48533;83208;56593;Managed;1
2;2021-09-02;31863;80918;62736;Ilhas Toalhas;2
3;2021-09-02;30375;50558;19727;Pound Forward whiteboard;3
4;2021-09-02;86706;84997;60642;Forward dot-com fresh-thinking;4
5;2021-09-03;25678;26619;15351;Sabonete;5
6;2021-09-02;27168;25149;86055;Director Avenida;6
7;2021-09-02;22198;8083;3490;Algodão Qatari transmit;7
8;2021-09-02;53785;10606;95524;Rio Saúde;8
9;2021-09-02;61956;94539;4784;back-end protocol Norte;9
10;2021-09-02;5778;55918;80807;niches;10
