id;housing_date;housing_entrance_date;housing_exit;housing_receipt_number;housing_daily_price;housing_description;affiliates_id;status_id;customers_id;employees_id;suppliers_id;cities_id
1;2021-09-02;2021-09-02T09:14:45;2021-09-02T09:21:27;39837;9707;Metrics redundant;1;1;1;1;1;1
2;2021-09-02;2021-09-02T06:49:55;2021-09-03T05:18:13;68262;93931;Rondônia overriding;2;2;2;2;2;2
3;2021-09-03;2021-09-02T16:07:55;2021-09-02T21:02:10;92350;36422;Focused;3;3;3;3;3;3
4;2021-09-02;2021-09-02T13:33:37;2021-09-02T18:58:13;53136;40270;Berkshire Saúde;4;4;4;4;4;4
5;2021-09-02;2021-09-02T09:47:17;2021-09-02T23:45:00;98626;76596;alarm sticky Gostoso;5;5;5;5;5;5
6;2021-09-02;2021-09-02T22:54:28;2021-09-02T15:15:49;74539;38791;Burundi;6;6;6;6;6;6
7;2021-09-02;2021-09-03T02:53:14;2021-09-02T20:51:39;85216;91382;program;7;7;7;7;7;7
8;2021-09-02;2021-09-03T05:03:30;2021-09-03T00:15:47;58525;83888;payment Plástico;8;8;8;8;8;8
9;2021-09-02;2021-09-02T14:09:19;2021-09-02T11:56:53;6556;83381;connecting Borders Norte;9;9;9;9;9;9
10;2021-09-02;2021-09-02T07:46:34;2021-09-02T22:37:52;1523;44182;ubiquitous;10;10;10;10;10;10
