id;parking_number;parking_status;parking_entry_date;parking_departure_date;parking_housing_item_id;parking_sector_id
1;33608;Maintenance;2021-09-02;2021-09-02;80195;1
2;64026;Maintenance;2021-09-02;2021-09-03;34847;2
3;62840;Disabled;2021-09-03;2021-09-03;58886;3
4;29866;Free;2021-09-02;2021-09-02;24430;4
5;10024;Occupied;2021-09-02;2021-09-02;43399;5
6;92753;Disabled;2021-09-02;2021-09-02;32831;6
7;6813;Maintenance;2021-09-02;2021-09-03;97228;7
8;5688;Disabled;2021-09-02;2021-09-02;94424;8
9;46929;Occupied;2021-09-02;2021-09-02;38890;9
10;5502;Occupied;2021-09-02;2021-09-02;47784;10
