id;status_name;status_descriptions;status_obs;attachment_type;affiliates_id
1;back Infrastructure;withdrawal withdrawal;Alameda amarelo enable;EMPLOYEE;1
2;Associate;Loan Fantástico;auxiliary invoice;QUOTATION;2
3;protocol hierarchy;Administrator;Mobility back-end;SUPPLIERS;3
4;FTP Calças high-level;Alagoas;Roraima;VEHICLE_CONTROL;4
5;Producer Regional transmit;Credit District;International programming;QUOTATION;5
6;partnerships;Bola;non-volatile FTP;EMPLOYEE;6
7;Bicicleta;cutting-edge Orchestrator;Product;SUPPLIERS;7
8;Piauí Technician Sergipe;driver Avon Ergonômico;index Impressionante;QUOTATION;8
9;explicit;Producer;Branding Cambridgeshire SDD;SUPPLIERS;9
10;Account hybrid;Account out-of-the-box generating;empower compress Strategist;EMPLOYEE;10
