id;attach_image;attach_image_content_type;attach_url;attach_description;attached_date;vehicle_controls_id
1;../fake-data/blob/hipster.png;image/png;Brand Multi-channelled moratorium;experiences Loan;2021-09-02T11:43:48;1
2;../fake-data/blob/hipster.png;image/png;Automotivo invoice Rodovia;contingency Sergipe;2021-09-03T03:36:59;2
3;../fake-data/blob/hipster.png;image/png;National withdrawal;whiteboard;2021-09-02T12:59:29;3
4;../fake-data/blob/hipster.png;image/png;Checking rich;Eslováquia Ergonomic;2021-09-03T00:54:50;4
5;../fake-data/blob/hipster.png;image/png;Director invoice;PCI bus;2021-09-02T17:03:01;5
6;../fake-data/blob/hipster.png;image/png;back-end TCP Algodão;Rodovia Loan;2021-09-02T12:40:12;6
7;../fake-data/blob/hipster.png;image/png;empower recontextualize Team-oriented;multi-byte capability;2021-09-03T04:06:53;7
8;../fake-data/blob/hipster.png;image/png;Música redefine deposit;back-end Lindo;2021-09-02T15:32:25;8
9;../fake-data/blob/hipster.png;image/png;Bôsnia Customer bus;Plástico;2021-09-02T05:50:56;9
10;../fake-data/blob/hipster.png;image/png;Algodão Pequeno Frango;Markets;2021-09-03T04:06:05;10
