id;vehicle_control_billing_date;vehicle_control_billing_expiration_date;vehicle_control_billing_payment_date;vehicle_control_billing_seller_commission;vehicle_control_billing_driver_commission;vehicle_control_billing_amount;vehicle_control_billing_total_value;vehicle_control_billing_insurance_discount;vehicle_control_billing_customer_bank;vehicle_control_billing_anticipate;vehicle_control_billing_manifest;vehicle_controls_id;fees_id
1;2021-09-02;2021-09-02;2021-09-02;false;true;17352;39300;83696;Sapatos;true;holistic whiteboard;1;1
2;2021-09-02;2021-09-02;2021-09-02;false;true;93193;62463;93660;Program;false;Global empower;2;2
3;2021-09-03;2021-09-02;2021-09-02;true;false;74985;43570;52079;wireless;false;Livros indexing;3;3
4;2021-09-02;2021-09-02;2021-09-02;true;false;47250;94217;39705;cenoura solution-oriented;true;Gostoso;4;4
5;2021-09-02;2021-09-02;2021-09-02;true;true;1129;9379;39127;envisioneer Macio auxiliary;false;methodologies;5;5
6;2021-09-02;2021-09-02;2021-09-02;false;true;93034;27416;16085;IB;false;Sabonete hack syndicate;6;6
7;2021-09-02;2021-09-02;2021-09-02;false;true;82757;49226;10909;Bola PCI Manager;false;Incrível;7;7
8;2021-09-03;2021-09-02;2021-09-03;true;false;93172;17305;25566;SDD RSS;false;withdrawal Consultant Plástico;8;8
9;2021-09-03;2021-09-02;2021-09-02;false;true;71709;48217;24346;Web transmitting;false;invoice;9;9
10;2021-09-03;2021-09-02;2021-09-02;false;false;4739;16348;52199;Rua monetize Rufiyaa;false;Multi-tiered Future-proofed;10;10
