id;vehicle_control_expenses_description;vehicle_control_expenses_driver_type;vehicle_control_expenses_purchase_order;vehicle_control_expenses_due_date;vehicle_control_expenses_payment_date;vehicle_control_expenses_billing_total_value;vehicle_control_expenses_driver_commission;vehicle_controls_id;suppliers_id;origin_id;destination_id;vehicle_control_item_id
1;fúchsia solid bypass;INTERNAL;Intranet;2021-09-02;2021-09-02;25667;false;1;1;1;1;1
2;Developer web-readiness synthesizing;INTERNAL;productize;2021-09-03;2021-09-02;19980;false;2;2;2;2;2
3;Senior;EXTERNAL;optical hack;2021-09-03;2021-09-02;1360;false;3;3;3;3;3
4;invoice FTP;EXTERNAL;Incrível;2021-09-03;2021-09-03;62544;true;4;4;4;4;4
5;Concreto enable cross-platform;INTERNAL;SMTP CSS;2021-09-03;2021-09-02;75433;false;5;5;5;5;5
6;Decentralized reboot Noruega;INTERNAL;Savings Account;2021-09-02;2021-09-03;79485;true;6;6;6;6;6
7;Sem Licenciado;INTERNAL;Supervisor responsive Madeira;2021-09-02;2021-09-02;29642;false;7;7;7;7;7
8;transmitter Corporate;EXTERNAL;Congelado initiatives Jóias;2021-09-03;2021-09-03;24851;false;8;8;8;8;8
9;Pará;EXTERNAL;Cadeira web-enabled B2B;2021-09-02;2021-09-02;43922;false;9;9;9;9;9
10;Fully-configurable Response;INTERNAL;à Quality-focused transparent;2021-09-02;2021-09-03;46664;false;10;10;10;10;10
