id;vehicle_control_authorized_order;vehicle_control_request;vehicle_control_sinister;vehicle_control_date;vehicle_control_km;vehicle_control_plate;vehicle_control_amount;vehicle_control_price;vehicle_control_maximum_delivery_date;vehicle_control_collection_forecast;vehicle_control_collection_delivery_forecast;vehicle_control_date_collected;vehicle_control_delivery_date;affiliates_id;customers_id;customers_groups_id;employees_id;origin_id;destination_id;status_id
1;ouro Gostoso Supervisor;Account;Toalhas parallelism copying;2021-09-02;10088;web;82669;35692;2021-09-02;2021-09-03;2021-09-02;2021-09-02;2021-09-02;1;1;1;1;1;1;1
2;mesh Unidos Omã;Research;Singapura;2021-09-03;50431;Peixe Turi;19469;40987;2021-09-02;2021-09-02;2021-09-02;2021-09-02;2021-09-02;2;2;2;2;2;2;2
3;bypass;Metal;Central Lustroso;2021-09-02;59384;Avon trans;84500;62435;2021-09-02;2021-09-02;2021-09-02;2021-09-02;2021-09-02;3;3;3;3;3;3;3
4;integrated;functionalities static Cambridgeshire;array back-end;2021-09-02;72726;Horizontal;63008;38929;2021-09-02;2021-09-02;2021-09-02;2021-09-02;2021-09-03;4;4;4;4;4;4;4
5;fuligem digital cobre;Pequeno bluetooth;monitor;2021-09-02;96970;Home;15095;75387;2021-09-02;2021-09-02;2021-09-02;2021-09-02;2021-09-02;5;5;5;5;5;5;5
6;revolutionary dourado JBOD;facilitate;Rondônia EXE;2021-09-02;9933;Cadeira ed;55307;22961;2021-09-03;2021-09-02;2021-09-02;2021-09-02;2021-09-03;6;6;6;6;6;6;6
7;Guiné Account AGP;reintermediate Bicicleta Alameda;invoice Borders Berkshire;2021-09-02;33759;Aço Option;10414;23604;2021-09-02;2021-09-02;2021-09-02;2021-09-02;2021-09-02;7;7;7;7;7;7;7
8;niches Genérico back-end;RAM Fully-configurable;Bedfordshire Borracha cutting-edge;2021-09-02;26679;Casa Fresc;89358;83768;2021-09-03;2021-09-02;2021-09-02;2021-09-03;2021-09-02;8;8;8;8;8;8;8
9;streamline structure;Berkshire;Borders;2021-09-02;44594;Berkshire;26614;85969;2021-09-02;2021-09-02;2021-09-03;2021-09-02;2021-09-03;9;9;9;9;9;9;9
10;bus Bedfordshire bricks-and-clicks;Plástico;workforce;2021-09-03;34489;COM Cambri;71488;33687;2021-09-02;2021-09-02;2021-09-02;2021-09-02;2021-09-02;10;10;10;10;10;10;10
