id;vehicle_inspection_date;vehicle_inspection_status;vehicle_inspection_model;vehicle_inspection_license_plate;vehicle_inspection_km;vehicle_inspection_license_year;vehicle_inspection_has_manual;vehicle_inspection_has_extra_key;vehicle_inspection_has_stickers;vehicle_inspection_gas;vehicle_inspection_rear_view;vehicle_inspection_horn;vehicle_inspection_windshield_wiper;vehicle_inspection_squirt;vehicle_inspection_internal_light;vehicle_inspection_panel_light;vehicle_inspection_high_light;vehicle_inspection_low_light;vehicle_inspection_taillight;vehicle_inspection_indicator;vehicle_inspection_beacons;vehicle_inspection_break_light;vehicle_inspection_plate_light;vehicle_inspection_speedometer;vehicle_inspection_temperature;vehicle_inspection_tires;vehicle_inspection_step;vehicle_inspection_fire_extinguisher;vehicle_inspection_seat_belts;vehicle_inspection_monkey;vehicle_inspection_tire_iron;vehicle_inspection_radiator_cap;vehicle_inspection_triangle;vehicle_inspection_service_brake;vehicle_inspection_parking_brake;vehicle_inspection_oil_leaks;vehicle_inspection_glass_actuator;vehicle_inspection_vehicle_cleaning;vehicle_inspection_seat_state;vehicle_inspection_exhausts;vehicle_inspections_obs;vehicle_inspections_signed_url
1;2021-09-02T08:44:09;ARRIVAL;Chapéu Gibraltar withdrawal;Jordanian púrpura prata;36012;80801;false;false;true;LITTLE;true;false;true;true;BORED;DAMAGED;DAMAGED;BORED;FULL;WITH;NORMAL;NORMAL;OLD;NEW;DAMAGED;HAVE;LEAKING;BROKEN;WITH;CLEAN;ODOR;MASSAGED;SCRATCHED;BROKEN;SCRATCHED;NEW;FULL;BROKEN;CLEAN;NEW;calculating Lead Alameda;niches drive
2;2021-09-02T08:28:04;ARRIVAL;neural eyeballs;navigating partnerships deposit;75109;11811;false;false;true;LITTLE;true;false;true;false;DIRTY;NEW;FULL;DAMAGED;LEAKING;SCRATCHED;DAMAGED;ODOR;WITH;HAVE;SCRATCHED;NEW;WITH;DAMAGED;SCRATCHED;DAMAGED;SCRATCHED;NORMAL;CLEAN;MASSAGED;SCRATCHED;BROKEN;MASSAGED;DAMAGED;SCRATCHED;FULL;Kip intangible;transmitting
3;2021-09-02T13:19:58;DEPARTURE;concept;payment;80866;24598;true;true;false;LITTLE;false;false;true;true;MASSAGED;DIRTY;FULL;BROKEN;LEAKING;SCRATCHED;WITH;NORMAL;BORED;ODOR;NO_HAVE;BROKEN;NO_HAVE;SCRATCHED;FULL;FULL;BORED;NO_HAVE;DAMAGED;NO_HAVE;LEAKING;SCRATCHED;CLEAN;NO_HAVE;OLD;WITH;platforms Armênia Rua;card transmitter enable
4;2021-09-02T22:25:28;ARRIVAL;Account Acre;fault-tolerant Inteligente input;99759;36500;true;true;false;ABOVE_AVERAGE;true;true;true;false;LEAKING;WITH;DIRTY;BORED;FULL;CLEAN;LEAKING;NEW;NO_HAVE;DAMAGED;SCRATCHED;DIRTY;SCRATCHED;CLEAN;NEW;DAMAGED;ODOR;WITH;BROKEN;NORMAL;CLEAN;LEAKING;DAMAGED;NO_HAVE;MASSAGED;SCRATCHED;grená Personal connecting;markets
5;2021-09-02T05:44:45;DEPARTURE;bottom-line;Identity Account withdrawal;87762;30709;true;false;true;RESERVE;true;false;false;true;MASSAGED;BORED;LEAKING;CLEAN;CLEAN;FULL;OLD;SCRATCHED;DAMAGED;BROKEN;DIRTY;BORED;BORED;NO_HAVE;BROKEN;CLEAN;HAVE;LEAKING;HAVE;CLEAN;ODOR;HAVE;HAVE;DIRTY;DIRTY;BORED;Sul program brand;success Manager
6;2021-09-02T08:15:37;ARRIVAL;channels Bicicleta SSL;Human;16522;94808;true;true;true;LITTLE;true;false;false;true;BROKEN;BROKEN;OLD;MASSAGED;BORED;WITH;DIRTY;NO_HAVE;NORMAL;NEW;HAVE;FULL;LEAKING;ODOR;BROKEN;ODOR;DAMAGED;SCRATCHED;MASSAGED;NO_HAVE;HAVE;SCRATCHED;HAVE;MASSAGED;ODOR;BROKEN;Planner;markets Mesa
7;2021-09-02T13:15:37;ARRIVAL;Roupas;streamline;95979;17451;true;false;false;COMPLETE;false;false;true;true;WITH;BROKEN;FULL;LEAKING;DIRTY;FULL;DIRTY;NORMAL;BROKEN;HAVE;DIRTY;CLEAN;BROKEN;DAMAGED;LEAKING;CLEAN;BROKEN;DIRTY;FULL;HAVE;HAVE;WITH;DAMAGED;DAMAGED;BROKEN;NEW;Amapá;Assurance XSS
8;2021-09-02T23:09:20;ARRIVAL;Checking;online;31987;8559;false;false;false;ABOVE_AVERAGE;false;true;false;false;LEAKING;FULL;LEAKING;OLD;NORMAL;FULL;NO_HAVE;ODOR;MASSAGED;DAMAGED;DAMAGED;CLEAN;ODOR;SCRATCHED;OLD;CLEAN;BORED;DIRTY;MASSAGED;CLEAN;DAMAGED;SCRATCHED;MASSAGED;OLD;DAMAGED;BORED;Checking;ROI
9;2021-09-02T07:49:02;DEPARTURE;clear-thinking;solutions;21221;19745;true;true;false;ABOVE_AVERAGE;false;false;false;false;MASSAGED;DAMAGED;DIRTY;MASSAGED;BORED;DIRTY;DAMAGED;BROKEN;NO_HAVE;NEW;BROKEN;SCRATCHED;HAVE;DAMAGED;WITH;OLD;MASSAGED;HAVE;SCRATCHED;NO_HAVE;BROKEN;CLEAN;MASSAGED;NEW;CLEAN;LEAKING;channels;Market SMTP
10;2021-09-03T03:45:16;ARRIVAL;holistic;SCSI;24567;70319;false;false;true;RESERVE;false;true;false;false;NORMAL;BORED;HAVE;DAMAGED;DAMAGED;OLD;ODOR;OLD;LEAKING;DAMAGED;BORED;BORED;BORED;ODOR;HAVE;DAMAGED;CLEAN;WITH;LEAKING;FULL;HAVE;CLEAN;BORED;DIRTY;HAVE;MASSAGED;SMS Esportes vertical;compressing fresh-thinking
