id;vehicle_location_status_date;vehicle_location_status_description;vehicle_controls_id;cities_id
1;2021-09-02T16:08:35;verde Legacy orchestrate;1;1
2;2021-09-02T23:39:42;Lindo Paradigm platforms;2;2
3;2021-09-02T13:36:54;card;3;3
4;2021-09-02T15:42:17;user-centric pixel;4;4
5;2021-09-03T02:54:17;IB turn-key Niue;5;5
6;2021-09-02T11:21:20;International;6;6
7;2021-09-02T06:12:38;Associate;7;7
8;2021-09-02T15:13:09;copying;8;8
9;2021-09-02T10:19:26;generate;9;9
10;2021-09-02T11:33:25;Rústico Director seize;10;10
